id,start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,file_type,external_id,compliance,gear,description
i134358513,2026-03-24T17:11:22,"☁️ 午后跑步","Run",3326,10006.1,3353,174.0,3.583,3.004,true,185,158,82.72722,614,true,,,,72.5433,49,,,3.0084484,22.28398,9.759081,,,,false,false,false,,,,,3.6630037,,49,66,41,193,162,172,181,191,198,203,210,2150,1098,43,39,0,0,0,,,,,,,,,58.0,false,false,false,3352,300,300,,,,,,,,2026-03-24T06:11:22Z,2026-03-24T07:11:27Z,,"fit","22279526290",,"Do-Win 战神3","Temperature: 26.09°C - 25.28°C\nFeels Like: 26.40°C - 25.50°C\nWeather: 🌞  - ☁️\nHumidity: 41% - 45%\nPressure: 948.18 hPa - 948.36 hPa\nCloud: 15% - 95%\nWind Speed: 4.61 km/h - 5.38 km/h\nVisibility: 24.14 KM - 24.14 KM\nAir Quality:\n    AQI: 💚 - 💚\n    PM25: 0 μg/㎥ - 0 μg/㎥\n    PM10: 0 μg/㎥ - 0 μg/㎥\n    O3: 0 μg/㎥ - 0 μg/㎥\n    SO2: 0 μg/㎥ - 0 μg/㎥\n    NO2: 0 μg/㎥ - 0 μg/㎥\n    CO: 0 mg/㎥ - 0 mg/㎥\nUV: 🟢 - 🟢\nDSWRF: 416.34 W/m² - 212.20 W/m²\nPowered By www.gearaut.com\n"
i133845921,2026-03-22T17:06:22,"Canberra 跑步","Run",3844,11322.8,3850,180.0,3.443,2.944,true,179,164,82.76745,719,true,,,,76.150566,62,,3,2.9455774,20.97335,9.025927,,,,,false,false,,,,,3.6630037,,62,74,44,193,162,172,181,191,198,203,210,884,2886,76,0,0,0,0,,,,,,,,,58.0,false,false,false,3849,300,300,,,,,,,,2026-03-22T06:06:22Z,2026-03-22T07:11:41Z,,"fit","22255913649",,"Do-Win 战神3",
i133417666,2026-03-20T17:35:49,"🌥️ 午后跑步","Run",2120,6182.76,2191,80.0,4.255,2.822,true,179,155,77.297935,373,true,,,,70.224686,30,,,2.9163961,16.926367,7.93623,,,,false,false,false,,,,,3.6630037,,30,39,45,193,162,172,181,191,198,203,210,1110,563,443,0,0,0,0,,,,,,,,,58.0,false,false,false,2190,300,300,,,,,,,,2026-03-20T06:35:49Z,2026-03-20T07:19:02Z,,"fit","22234344236",,"Do-Win 战神3","Temperature: 25.08°C - 24.13°C\nFeels Like: 25.60°C - 24.80°C\nWeather: 🌥️  - 🌥️\nHumidity: 54% - 59%\nPressure: 950.23 hPa - 950.62 hPa\nCloud: 74% - 61%\nWind Speed: 6.52 km/h - 6.27 km/h\nVisibility: 24.14 KM - 24.14 KM\nAir Quality:\n    AQI: 💚 - 💚\n    PM25: 0 μg/㎥ - 0 μg/㎥\n    PM10: 0 μg/㎥ - 0 μg/㎥\n    O3: 0 μg/㎥ - 0 μg/㎥\n    SO2: 0 μg/㎥ - 0 μg/㎥\n    NO2: 0 μg/㎥ - 0 μg/㎥\n    CO: 0 mg/㎥ - 0 mg/㎥\nUV: 🟢 - 🟢\nDSWRF: 402.48 W/m² - 150.10 W/m²\nPowered By www.gearaut.com\n"
i132918137,2026-03-18T17:24:52,"☁️ 午后跑步","Run",3310,10009.77,3324,181.0,3.518,3.022,true,171,160,82.47917,608,true,,,,72.85915,49,,,3.0240996,17.209707,7.5830145,,,,false,false,false,,,,,3.6630037,,49,67,46,193,162,172,181,191,198,203,210,1929,1385,0,0,0,0,0,,,,,,,,,58.0,false,false,false,3323,300,300,,,,,,,,2026-03-18T06:24:52Z,2026-03-18T07:28:41Z,,"fit","22211341013",,"Do-Win 战神3","Temperature: 23.88°C - 23.62°C\nFeels Like: 24.50°C - 23.80°C\nWeather: ☁️  - ☁️\nHumidity: 62% - 63%\nPressure: 952.83 hPa - 952.83 hPa\nCloud: 94% - 100%\nWind Speed: 7.18 km/h - 9.66 km/h\nVisibility: 24.13 KM - 24.14 KM\nAir Quality:\n    AQI: 💚 - 💚\n    PM25: 0 μg/㎥ - 0 μg/㎥\n    PM10: 0 μg/㎥ - 0 μg/㎥\n    O3: 0 μg/㎥ - 0 μg/㎥\n    SO2: 0 μg/㎥ - 0 μg/㎥\n    NO2: 0 μg/㎥ - 0 μg/㎥\n    CO: 0 mg/㎥ - 0 mg/㎥\nUV: 🟢 - 🟢\nDSWRF: 148.22 W/m² - 129.20 W/m²\nPowered By www.gearaut.com\n"
i132918197,2026-03-18T15:30:30,"锻炼（下午）","Workout",334,,334,,,,true,82,62,,0,,,,,,0,,,,17.209707,7.5830145,,,,true,false,false,,,,,,,0,,46,172,145,153,162,171,176,181,190,335,0,0,0,0,0,0,,,,,,,,,58.0,false,false,false,333,0,0,,,,,,,,2026-03-18T04:30:30Z,2026-03-18T07:29:18Z,,"fit","22211358172",,,""
i132881640,2026-03-18T11:42:33,"平静","Workout",228,,228,,,,true,87,61,,,,,,,,0,,,,17.209707,7.5830145,,,,true,false,false,,,,,,,0,,46,172,145,153,162,171,176,181,190,229,0,0,0,0,0,0,,,,,,,,,58.0,false,false,false,227,0,0,,,,,,,,2026-03-18T00:42:33Z,2026-03-18T00:46:34Z,,"fit","22209711750",,,
i132645501,2026-03-17T17:33:54,"跑步机","VirtualRun",1630,5000.0,1634,,3.555,3.06,true,169,156,82.765785,295,true,,,,69.64172,22,,3,3.0674846,12.327831,6.5850625,,,,true,false,false,,,,,3.6630037,,22,32,45,193,162,172,181,191,198,203,210,1179,437,0,0,0,0,0,,,,,,,,,59.4,false,false,false,1633,300,300,,,,,,,,2026-03-17T06:33:54Z,2026-03-17T07:03:02Z,,"fit","22199426654",,"Do-Win 战神3",
i132368892,2026-03-16T17:57:39,"☁️ 午后跑步","Run",1345,4005.75,1347,78.0,3.284,2.974,true,176,154,82.16754,245,true,,,,69.3849,18,,3,2.978253,10.842525,6.213636,,,,,false,false,,,,,3.6630037,,18,27,45,193,162,172,181,191,198,203,210,1182,118,47,0,0,0,0,,,,,,,,,59.299,false,false,false,1346,300,300,,,,,,,,2026-03-16T06:57:39Z,2026-03-16T07:24:58Z,,"fit","22188733779",,"Do-Win 战神3","Temperature: 27.49°C - 26.95°C\nFeels Like: 26.50°C - 26.70°C\nWeather: ☁️  - ☁️\nHumidity: 43% - 48%\nPressure: 948.77 hPa - 949.02 hPa\nCloud: 100% - 100%\nWind Speed: 13.95 km/h - 11.35 km/h\nVisibility: 24.14 KM - 24.14 KM\nAir Quality:\n    AQI: 💚 - 💚\n    PM25: 0 μg/㎥ - 0 μg/㎥\n    PM10: 0 μg/㎥ - 0 μg/㎥\n    O3: 0 μg/㎥ - 0 μg/㎥\n    SO2: 0 μg/㎥ - 0 μg/㎥\n    NO2: 0 μg/㎥ - 0 μg/㎥\n    CO: 0 mg/㎥ - 0 mg/㎥\nUV: 🟢 - 🟢\nDSWRF: 79.50 W/m² - 59.30 W/m²\nPowered By www.gearaut.com\n"
i131648630,2026-03-13T18:10:41,"傍晚跑步","Run",1307,4010.65,1318,84.0,3.742,3.062,true,177,153,83.292534,233,true,,,,68.16836,17,,3,3.068592,12.965645,6.218836,,,,,false,false,,,,,3.6630037,,17,28,43,193,162,172,181,191,198,203,210,1184,78,48,0,0,0,0,,,,,,,,,59.799,false,false,false,1317,300,300,,,,,,,,2026-03-13T07:10:41Z,2026-03-13T07:33:23Z,,"fit","22156754226",,"Do-Win 战神3",
i131130857,2026-03-11T17:14:09,"午后跑步","Run",2480,7006.32,2547,132.0,3.35,2.814,true,173,159,82.26816,437,true,,,,71.3466,36,,3,2.825129,14.24204,6.102646,,,,,false,false,,,,,3.6630037,,36,44,45,193,162,172,181,191,198,203,210,1443,1043,1,0,0,0,0,,,,,,,,,59.4,false,false,false,2546,300,300,,,,,,,,2026-03-11T06:14:09Z,2026-03-11T06:57:58Z,,"fit","22134593429",,"Do-Win 战神3","Temperature: 28.98°C\nFeels Like: 27.20°C\nWeather: 🌞\nHumidity: 25%\nPressure: 943.45 hPa\nCloud: 4%\nWind Speed: 12.51 km/h\nVisibility: 24.14 KM\nAir Quality: \n    AQI: 💚\n    PM25: 0 μg/㎥\n    PM10: 0 μg/㎥\n    O3: 0 μg/㎥\n    SO2: 0 μg/㎥\n    NO2: 0 μg/㎥\n    CO: 0 mg/㎥\nUV: 🟢\nDSWRF: 501.70 W/m²\nPowered By www.gearaut.com\n"
i130837644,2026-03-10T12:55:25,"力量训练","WeightTraining",935,,1047,,,0.0,true,161,131,,111,,,,,65.18379,11,,,,10.900779,5.382262,,,,,false,false,,,,,,,11,,45,172,145,153,162,171,176,181,190,775,124,37,0,0,0,0,,,,,,,,,58.7,false,false,false,932,0,0,,,,,,,,2026-03-10T01:55:25Z,2026-03-10T02:13:06Z,,"fit","22121487175",,,
i130833601,2026-03-10T12:44:03,"力量训练","WeightTraining",188,,191,,,0.0,true,121,94,,11,,,,,,1,,,,10.900779,5.382262,,,,,false,false,,,,,,,1,,45,172,145,153,162,171,176,181,190,190,0,0,0,0,0,0,,,,,,,,,58.7,false,false,false,189,0,0,,,,,,,,2026-03-10T01:44:03Z,2026-03-10T01:49:13Z,,"fit","22121385743",,,
i130600162,2026-03-09T17:10:38,"🌞 午后跑步","Run",2384,7008.91,2409,112.0,3.723,2.933,true,178,164,81.99747,430,true,,,,76.35813,39,,3,2.939979,10.7319765,5.511949,,,,,false,false,,,,,3.6630037,,39,46,42,193,162,172,181,191,198,203,210,644,1557,186,0,0,0,0,,,,,,,,,58.299,false,false,false,2408,300,300,,,,,,,,2026-03-09T06:10:38Z,2026-03-09T06:52:38Z,,"fit","22111006559",,"Do-Win 战神3","Temperature: 23.48°C\nFeels Like: 22°C\nWeather: 🌞\nHumidity: 42%\nPressure: 944.81 hPa\nCloud: 6%\nWind Speed: 11.99 km/h\nVisibility: 24.14 KM\nAir Quality: \n    AQI: 💚\n    PM25: 0 μg/㎥\n    PM10: 0 μg/㎥\n    O3: 0 μg/㎥\n    SO2: 0 μg/㎥\n    NO2: 0 μg/㎥\n    CO: 0 mg/㎥\nUV: 🟢\nDSWRF: 510.20 W/m²\nPowered By www.gearaut.com\n"
i129899343,2026-03-06T17:35:12,"Treadmill Running","VirtualRun",1621,5000.0,1627,,4.74,3.073,true,188,156,83.0037,282,true,,,,71.36001,23,,3,3.0845158,8.504579,4.9345164,,,,true,false,false,,,,,3.6630037,,23,32,42,193,162,172,181,191,198,203,210,1235,163,109,107,0,0,0,,,,,,,,,59.099,false,false,false,1626,300,300,,,,,,,,2026-03-06T06:35:12Z,2026-03-06T07:05:34Z,,"fit","22077851279",,"Do-Win 战神3",
i129371071,2026-03-04T17:17:59,"Treadmill Running","VirtualRun",1699,5000.0,1712,,4.581,2.92,true,173,159,80.882355,304,true,,,,72.52642,25,,3,2.9429076,7.2427607,4.607634,,,,true,false,false,,,,,3.6630037,,25,30,44,193,162,172,181,191,198,203,210,785,891,5,0,0,0,0,,,,,,,,,59.299,false,false,false,1711,300,300,,,,,,,,2026-03-04T06:17:59Z,2026-03-04T06:58:28Z,,"fit","22055021672",,"Do-Win 战神3",
i128611102,2026-03-01T16:39:51,"放松和专注(短)","Workout",336,,340,,,,true,81,64,,,,,,,,0,,,,6.0093236,4.3170304,,,,,false,false,,,,,,,0,,44,172,145,153,162,171,176,181,190,338,0,0,0,0,0,0,,,,,,,,,59.099,false,false,false,339,0,0,,,,,,,,2026-03-01T05:39:51Z,2026-03-01T08:58:57Z,,"fit","22021432405",,,
i127696831,2026-02-25T17:45:20,"Treadmill Running","VirtualRun",544,2000.0,551,,3.984,3.632,true,184,168,84.97064,99,true,,,,,10,,3,3.6764705,10.64128,4.748391,,,,true,false,false,,,,,3.6630037,,10,15,44,193,162,172,181,191,198,203,210,97,100,236,104,0,0,0,,,,,,,,,58.5,false,false,false,550,0,0,,,,,,,,2026-02-25T06:45:20Z,2026-02-25T06:56:45Z,,"fit","21977526037",,"Do-Win 战神3",
i127421331,2026-02-24T16:53:16,"Treadmill Running","VirtualRun",2109,6000.0,2111,,4.292,2.843,true,190,165,80.914215,377,true,,,,77.275894,35,,3,2.8449502,10.7397585,4.6218524,,,,true,false,false,,,,,3.6630037,,35,35,43,193,162,172,181,191,198,203,210,401,1421,210,69,0,0,0,,,,,,,,,57.5,false,false,false,2110,300,300,,,,,,,,2026-02-24T05:53:16Z,2026-02-24T06:31:26Z,,"fit","21965933405",,"Do-Win 战神3",
i127381132,2026-02-24T10:17:52,"平静","Workout",663,,663,,,,true,90,71,,,,,,,23.319662,1,,,,10.7397585,4.6218524,,,,,false,false,,,,,,,1,,43,172,145,153,162,171,176,181,190,664,0,0,0,0,0,0,,,,,,,,,57.5,false,false,false,662,0,0,,,,,,,,2026-02-23T23:17:52Z,2026-02-23T23:29:48Z,,"fit","21964153973",,,
i127184299,2026-02-23T17:45:59,"Treadmill Running","VirtualRun",1681,5000.0,1688,,4.199,2.962,true,197,167,80.88169,299,true,,,,80.011856,30,,3,2.97442,6.8606696,3.889884,,,,true,false,false,,,,,3.6630037,,30,31,41,193,162,172,181,191,198,203,210,388,448,638,103,96,0,0,,,,,,,,,57.5,false,false,false,1687,300,300,,,,,,,,2026-02-23T06:45:59Z,2026-02-23T07:16:50Z,,"fit","21955560949",,"Do-Win 战神3",
i127151700,2026-02-23T09:51:02,"放松和专注(短)","Workout",334,,334,,,,true,83,67,,,,,,,,0,,,,6.8606696,3.889884,,,,,false,false,,,,,,,0,,41,172,145,153,162,171,176,181,190,335,0,0,0,0,0,0,,,,,,,,,57.5,false,false,false,333,0,0,,,,,,,,2026-02-22T22:51:02Z,2026-02-22T22:57:11Z,,"fit","21953706271",,,
i124846536,2026-02-13T15:11:10,"Treadmill Running","VirtualRun",3500,9990.0,3536,,3.564,2.826,true,184,167,81.49828,643,true,,,,78.81728,61,,3,2.8542857,11.963258,4.0399985,,,,true,false,false,,,,,3.6630037,,61,59,43,193,162,172,181,191,198,203,210,722,1746,917,101,0,0,0,,,,,,,,,58.0,false,false,false,3535,300,300,,,,,,,,2026-02-13T04:11:10Z,2026-02-13T05:13:23Z,,"fit","21851940715",,"Do-Win 战神3",
i124363547,2026-02-11T18:56:39,"Treadmill Running","VirtualRun",1657,5000.0,1665,,3.611,3.003,true,186,166,81.29046,303,true,,,,79.20883,29,,3,3.0175016,5.113674,2.731809,,,,true,false,false,,,,,3.6630037,,29,31,43,193,162,172,181,191,198,203,210,399,492,575,188,0,0,0,,,,,,,,,58.0,false,false,false,1664,300,300,,,,,,,,2026-02-11T07:56:39Z,2026-02-11T08:27:50Z,,"fit","21832406174",,"Do-Win 战神3",
i122151334,2026-02-02T18:44:58,"Treadmill Running","VirtualRun",1683,5000.0,1691,,3.014,2.957,true,191,174,80.646255,323,true,,,,85.103485,34,,4,2.9708853,4.532897,2.5392675,,,,true,false,false,,,,,3.6630037,,34,31,47,193,162,172,181,191,198,203,210,143,288,745,502,0,0,0,,,,,,,,,58.0,false,false,false,1690,300,300,,,,,,,,2026-02-02T07:44:58Z,2026-02-02T08:15:08Z,,"fit","21737778686",,"Do-Win 战神3",
